pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
516960647,TRS_Standard/AProVE_07/thiemann31.xml,13153795,NTI,33201,default,549724,timeout (wallclock),954.497770565,301.008370876,2.577860608E10,MAYBE,239
516960648,TRS_Standard/AProVE_07/thiemann31.xml,13153795,NaTT 2.1,33842,default,552075,timeout (wallclock),301.11098569,301.009052992,1.24911616E8,MAYBE,239
516960649,TRS_Standard/AProVE_07/thiemann31.xml,13153795,ttt2-1.20,33885,ttt2,552234,complete,336.210247646,99.3426270485,1.541341184E9,MAYBE,905
516960650,TRS_Standard/AProVE_07/thiemann31.xml,13153795,AProVE21,33789,standard,551423,complete,11.471664685,3.98671984673,6.56318464E8,YES,22055
516960651,TRS_Standard/AProVE_07/thiemann31.xml,13153795,muterm 6.0.3,22652,default,326595,timeout (wallclock),483.306890947,301.069653988,1.8925568E8,MAYBE,242
516960652,TRS_Standard/AProVE_07/thiemann36.xml,13153796,NTI,33201,default,549724,timeout (wallclock),945.789357782,301.043003082,2.541920256E10,MAYBE,239
516960653,TRS_Standard/AProVE_07/thiemann36.xml,13153796,NaTT 2.1,33842,default,552075,timeout (wallclock),301.108942198,301.04114604,1.54292224E8,MAYBE,239
516960654,TRS_Standard/AProVE_07/thiemann36.xml,13153796,ttt2-1.20,33885,ttt2,552234,complete,335.870425257,99.3612251282,2.146471936E9,MAYBE,937
516960655,TRS_Standard/AProVE_07/thiemann36.xml,13153796,AProVE21,33789,standard,551423,complete,13.751026562,5.28717303276,6.8851712E8,YES,23691
516960656,TRS_Standard/AProVE_07/thiemann36.xml,13153796,muterm 6.0.3,22652,default,326595,timeout (wallclock),530.844148937,301.012746811,3.7535744E8,MAYBE,239
516960657,TRS_Standard/AProVE_07/thiemann38.xml,13153797,NTI,33201,default,549724,timeout (wallclock),973.251996291,301.042650223,2.7629850624E10,MAYBE,242
516960658,TRS_Standard/AProVE_07/thiemann38.xml,13153797,NaTT 2.1,33842,default,552075,complete,1.66043246,1.62011599541,3.422208E7,MAYBE,2585
516960659,TRS_Standard/AProVE_07/thiemann38.xml,13153797,ttt2-1.20,33885,ttt2,552234,complete,336.100470275,99.3460669518,1.390616576E9,MAYBE,976
516960660,TRS_Standard/AProVE_07/thiemann38.xml,13153797,AProVE21,33789,standard,551423,complete,9.875505714,3.32096600533,5.89144064E8,YES,22239
516960661,TRS_Standard/AProVE_07/thiemann38.xml,13153797,muterm 6.0.3,22652,default,326595,timeout (wallclock),300.350851418,301.030444145,2.24702464E8,MAYBE,242
516960662,TRS_Standard/AProVE_07/thiemann03.xml,13153798,NTI,33201,default,549724,timeout (wallclock),1034.89871331,301.316555023,2.9134344192E10,MAYBE,242
516960663,TRS_Standard/AProVE_07/thiemann03.xml,13153798,NaTT 2.1,33842,default,552075,complete,1.091302387,1.58121609688,3.3144832E7,MAYBE,2566
516960664,TRS_Standard/AProVE_07/thiemann03.xml,13153798,ttt2-1.20,33885,ttt2,552234,complete,336.254491904,99.3617560863,1.28454656E9,MAYBE,953
516960665,TRS_Standard/AProVE_07/thiemann03.xml,13153798,AProVE21,33789,standard,551423,complete,10.40338479,3.44536495209,6.62597632E8,YES,27230
516960666,TRS_Standard/AProVE_07/thiemann03.xml,13153798,muterm 6.0.3,22652,default,326595,complete,0.984305666,1.04324388504,1.5753216E7,YES,9695
516960667,TRS_Standard/AProVE_07/otto10.xml,13153799,NTI,33201,default,549724,timeout (wallclock),951.054055667,301.041885138,2.4423944192E10,MAYBE,242
516960668,TRS_Standard/AProVE_07/otto10.xml,13153799,NaTT 2.1,33842,default,552075,complete,6.634592226,6.54757499695,4.9987584E7,MAYBE,3005
516960669,TRS_Standard/AProVE_07/otto10.xml,13153799,ttt2-1.20,33885,ttt2,552234,complete,301.065583788,75.6857638359,1.549561856E9,MAYBE,803
516960670,TRS_Standard/AProVE_07/otto10.xml,13153799,AProVE21,33789,standard,551423,complete,9.232848481,3.24085092545,5.8359808E8,YES,22061
516960671,TRS_Standard/AProVE_07/otto10.xml,13153799,muterm 6.0.3,22652,default,326595,timeout (wallclock),603.498861614,301.036798,6.66021888E8,MAYBE,242
516960672,TRS_Standard/AProVE_07/thiemann04.xml,13153800,NTI,33201,default,549724,timeout (wallclock),1061.16361767,301.072242022,2.85944832E10,MAYBE,242
516960673,TRS_Standard/AProVE_07/thiemann04.xml,13153800,NaTT 2.1,33842,default,552075,timeout (wallclock),301.26734019,301.065613985,2.19185152E8,MAYBE,239
516960674,TRS_Standard/AProVE_07/thiemann04.xml,13153800,ttt2-1.20,33885,ttt2,552234,complete,337.672444828,99.4202728271,2.946482176E9,MAYBE,1129
516960675,TRS_Standard/AProVE_07/thiemann04.xml,13153800,AProVE21,33789,standard,551423,complete,29.13391828,20.8779652119,1.281810432E9,YES,296122
516960676,TRS_Standard/AProVE_07/thiemann04.xml,13153800,muterm 6.0.3,22652,default,326595,timeout (wallclock),300.807913753,301.083534956,7.4215424E7,MAYBE,239
516960677,TRS_Standard/AProVE_07/wiehe06.xml,13153801,NTI,33201,default,549724,timeout (wallclock),1142.44842412,301.090860844,3.2185307136E10,MAYBE,242
516960678,TRS_Standard/AProVE_07/wiehe06.xml,13153801,NaTT 2.1,33842,default,552075,complete,0.187577128,0.266736984253,1.42336E7,YES,5191
516960679,TRS_Standard/AProVE_07/wiehe06.xml,13153801,ttt2-1.20,33885,ttt2,552234,complete,14.560012926,4.05387115479,1.346502656E9,YES,26064
516960680,TRS_Standard/AProVE_07/wiehe06.xml,13153801,AProVE21,33789,standard,551423,complete,9.303634576,3.17625999451,5.87124736E8,YES,13546
516960681,TRS_Standard/AProVE_07/wiehe06.xml,13153801,muterm 6.0.3,22652,default,326595,timeout (wallclock),298.331671621,301.080312014,2.26811904E8,MAYBE,239
516960682,TRS_Standard/AProVE_07/thiemann15.xml,13153802,NTI,33201,default,549724,timeout (wallclock),397.674725419,301.008888006,1.3747740672E10,MAYBE,239
516960683,TRS_Standard/AProVE_07/thiemann15.xml,13153802,NaTT 2.1,33842,default,552075,complete,0.110634505,0.163673877716,1.3684736E7,YES,2564
516960684,TRS_Standard/AProVE_07/thiemann15.xml,13153802,ttt2-1.20,33885,ttt2,552234,complete,2.999361321,1.1075220108,6.58096128E8,MAYBE,7589
516960685,TRS_Standard/AProVE_07/thiemann15.xml,13153802,AProVE21,33789,standard,551423,complete,6.972565655,2.54415512085,5.06200064E8,YES,13368
516960686,TRS_Standard/AProVE_07/thiemann15.xml,13153802,muterm 6.0.3,22652,default,326595,complete,0.099629059,0.193220853806,4173824.0,YES,7269
516960687,TRS_Standard/AProVE_07/otto06.xml,13153803,NTI,33201,default,549724,timeout (wallclock),992.480788846,301.091566086,2.6171293696E10,MAYBE,242
516960688,TRS_Standard/AProVE_07/otto06.xml,13153803,NaTT 2.1,33842,default,552075,complete,4.185316536,4.05690193176,4.3790336E7,MAYBE,4380
516960689,TRS_Standard/AProVE_07/otto06.xml,13153803,ttt2-1.20,33885,ttt2,552234,complete,336.468341812,99.3862650394,1.430376448E9,MAYBE,1153
516960690,TRS_Standard/AProVE_07/otto06.xml,13153803,AProVE21,33789,standard,551423,complete,11.81092328,3.94606399536,6.77531648E8,YES,40844
516960691,TRS_Standard/AProVE_07/otto06.xml,13153803,muterm 6.0.3,22652,default,326595,timeout (wallclock),298.825690679,301.00763607,8.4168704E7,MAYBE,242
516960692,TRS_Standard/AProVE_07/wiehe01.xml,13153804,NTI,33201,default,549724,timeout (wallclock),1016.599757,301.042348862,3.0807314432E10,MAYBE,239
516960693,TRS_Standard/AProVE_07/wiehe01.xml,13153804,NaTT 2.1,33842,default,552075,complete,0.106821935,0.0940918922424,1.318912E7,YES,4681
516960694,TRS_Standard/AProVE_07/wiehe01.xml,13153804,ttt2-1.20,33885,ttt2,552234,complete,9.811142033,2.82487916946,1.061474304E9,YES,18765
516960695,TRS_Standard/AProVE_07/wiehe01.xml,13153804,AProVE21,33789,standard,551423,complete,8.740183665,2.93411397934,5.63646464E8,YES,12266
516960696,TRS_Standard/AProVE_07/wiehe01.xml,13153804,muterm 6.0.3,22652,default,326595,timeout (wallclock),300.416300415,301.007272959,2.26050048E8,MAYBE,242
516960697,TRS_Standard/AProVE_07/thiemann12.xml,13153805,NTI,33201,default,549724,timeout (wallclock),675.366603031,301.008620977,1.8295963648E10,MAYBE,239
516960698,TRS_Standard/AProVE_07/thiemann12.xml,13153805,NaTT 2.1,33842,default,552075,complete,0.132362086,0.115151882172,1.5474688E7,YES,2861
516960699,TRS_Standard/AProVE_07/thiemann12.xml,13153805,ttt2-1.20,33885,ttt2,552234,complete,3.828095166,1.36506605148,8.13031424E8,MAYBE,8549
516960700,TRS_Standard/AProVE_07/thiemann12.xml,13153805,AProVE21,33789,standard,551423,complete,7.485108432,2.8566069603,5.1443712E8,YES,16162
516960701,TRS_Standard/AProVE_07/thiemann12.xml,13153805,muterm 6.0.3,22652,default,326595,complete,0.113419008,0.240510940552,4423680.0,YES,8599
516960702,TRS_Standard/AProVE_07/otto01.xml,13153806,NTI,33201,default,549724,timeout (wallclock),982.652677771,301.089234829,2.8682133504E10,MAYBE,239
516960703,TRS_Standard/AProVE_07/otto01.xml,13153806,NaTT 2.1,33842,default,552075,complete,0.118542125,0.205250024796,1.2722176E7,YES,5666
516960704,TRS_Standard/AProVE_07/otto01.xml,13153806,ttt2-1.20,33885,ttt2,552234,complete,4.244422537,1.46670007706,8.09373696E8,YES,15985
516960705,TRS_Standard/AProVE_07/otto01.xml,13153806,AProVE21,33789,standard,551423,complete,9.810926378,3.40895104408,6.10455552E8,YES,33237
516960706,TRS_Standard/AProVE_07/otto01.xml,13153806,muterm 6.0.3,22652,default,326595,timeout (wallclock),300.989336444,301.070299149,2.70462976E8,MAYBE,242
516960707,TRS_Standard/AProVE_07/kabasci02.xml,13153807,NTI,33201,default,549724,timeout (wallclock),1140.46055406,301.054597139,3.2267124736E10,MAYBE,239
