pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516348934,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr9.xml,13163564,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,618.08745021,296.20717907,1.538994176E9,MAYBE,-,-
516348935,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr7.xml,13163565,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.092748577,0.0607089996338,1.8501632E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.04
516348936,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/multum2.xml,13163566,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,880.501912673,296.137190104,3.84946176E8,MAYBE,-,-
516348937,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove05.xml,13163567,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1202.55438365,301.008488894,3.59768064E8,--,-,-
516348938,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/multum5.xml,13163568,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,875.232842272,296.420745134,3.060789248E9,MAYBE,-,-
516348939,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove02.xml,13163569,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1201.5669896,301.035361052,3.97283328E8,--,-,-
516348940,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/1.xml,13163570,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.076779807,0.0636718273163,2.0774912E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.04
516348941,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/6.xml,13163571,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1157.50598644,296.241168022,1.482371072E9,MAYBE,-,-
516348942,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/8.xml,13163572,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1035.05438001,296.247874975,1.577250816E9,MAYBE,-,-
516348943,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr1.xml,13163573,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.031624249,0.0662829875946,9764864.0,"WORST_CASE(?,O(n^1))",CERTIFIED,0.03
516348944,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr6.xml,13163574,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.132081172,0.0830979347229,2.4092672E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.05
516348945,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/10.xml,13163575,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1110.71285243,296.136852026,7.78440704E8,MAYBE,-,-
516348946,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr8.xml,13163576,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1029.39879172,296.228754044,8.99072E8,MAYBE,-,-
516348947,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/9.xml,13163577,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,940.6335137,296.153628826,3.46005504E8,MAYBE,-,-
516348948,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/7.xml,13163578,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1102.57364275,296.329566002,7.7223936E8,MAYBE,-,-
516348949,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/multum4.xml,13163579,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1202.98429392,301.008825064,2.54214144E8,--,-,-
516348950,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove03.xml,13163580,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1203.3958094,301.008313894,4.108288E8,--,-,-
516348951,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/multum3.xml,13163581,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,951.681920657,296.197872162,7.03455232E8,MAYBE,-,-
516348952,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove04.xml,13163582,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1200.86277324,301.007586002,5.28318464E8,--,-,-
516348953,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/3.xml,13163583,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,602.778883368,296.350479126,1.783558144E9,MAYBE,-,-
516348954,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove09.xml,13163584,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1179.0129686,296.247491837,2.682953728E10,MAYBE,-,-
516348955,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr10.xml,13163585,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1012.98957616,296.178724051,1.141182464E9,MAYBE,-,-
516348956,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove07.xml,13163586,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,timeout (cpu),1202.74605403,301.007658005,3.8045696E8,--,-,-
516348957,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/aprove00.xml,13163587,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,1190.56859316,296.267476082,7.4437799936E10,MAYBE,-,-
516348958,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr5.xml,13163588,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.254489346,0.0912470817566,2.9671424E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.09
516348959,Derivational_Complexity_Innermost_Rewriting/Secret_06_SRS/secr2.xml,13163589,tct-trs_v3.2.0_2020-06-28,29575,tct_dci_cert,360391,complete,0.029916521,0.0307321548462,6041600.0,"WORST_CASE(?,O(n^1))",CERTIFIED,0.06
