pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error below,certification-result,certification-time,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.3: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.4: error when ,certification-err=1: error below AC-dependency pair processor 1.2: error below the dependency graph processor 1.2.1: error below,certification-err=1: error below AC-dependency pair processor 1.2: error while trying to perform Sctxt_closure-decomposition on ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when 
516331358,TRS_Equational/Mixed_AC/bag-sum-prod-bin.xml,13152985,NaTT 1.6.1,29473,Certifiable,360199,complete,0.126948232,0.135263204575,1.4344192E7,MAYBE,-,-,-,-,-,-,-,-,-
516331359,TRS_Equational/Mixed_AC/bag-sum-prod-distr.xml,13152986,AProVE21,33789,certified,551426,complete,6.245983121,2.38362216949,4.7921152E8,YES,-,CERTIFIED,0.14,-,-,-,-,-,-
516331360,TRS_Equational/Mixed_AC/bag-sum-prod-distr.xml,13152986,NaTT 1.6.1,29473,Certifiable,360199,complete,0.138569767,0.120167016983,1.3520896E7,MAYBE,-,-,-,-,-,-,-,-,-
516331361,TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds.xml,13152987,AProVE21,33789,certified,551426,complete,43.767123788,27.7798838615,1.41029376E9,YES,-,CERTIFIED,1.59,-,-,-,-,-,-
516331362,TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds.xml,13152987,NaTT 1.6.1,29473,Certifiable,360199,complete,0.441158461,0.380884170532,2.4870912E7,MAYBE,-,-,-,-,-,-,-,-,-
516331363,TRS_Equational/Mixed_AC/BAG_nosorts.xml,13152988,AProVE21,33789,certified,551426,complete,6.494759783,3.54981899261,4.76647424E8,YES,-,CERTIFIED,0.16,-,-,-,-,-,-
516331364,TRS_Equational/Mixed_AC/BAG_nosorts.xml,13152988,NaTT 1.6.1,29473,Certifiable,360199,complete,0.133807962,0.144786119461,1.3197312E7,MAYBE,-,-,-,-,-,-,-,-,-
516331365,TRS_Equational/Mixed_AC/YWHM14_1.xml,13152989,AProVE21,33789,certified,551426,complete,6.191973582,2.31119298935,4.83037184E8,YES,-,CERTIFIED,0.03,-,-,-,-,-,-
516331366,TRS_Equational/Mixed_AC/YWHM14_1.xml,13152989,NaTT 1.6.1,29473,Certifiable,360199,complete,0.039030633,0.10520195961,6574080.0,YES,-,CERTIFIED,0.15,-,-,-,-,-,-
516331367,TRS_Equational/Mixed_AC/differ.xml,13152990,AProVE21,33789,certified,551426,complete,15.848500561,6.25090503693,1.174355968E9,YES,-,CERTIFIED,0.11,-,-,-,-,-,-
516331368,TRS_Equational/Mixed_AC/differ.xml,13152990,NaTT 1.6.1,29473,Certifiable,360199,complete,0.037229597,0.0469801425934,6725632.0,YES,-,CERTIFIED,0.16,-,-,-,-,-,-
516331369,TRS_Equational/Mixed_AC/BAG_nosorts-noand.xml,13152991,AProVE21,33789,certified,551426,complete,8.096149855,3.02550506592,5.33098496E8,YES,-,CERTIFIED,0.70,-,-,-,-,-,-
516331370,TRS_Equational/Mixed_AC/BAG_nosorts-noand.xml,13152991,NaTT 1.6.1,29473,Certifiable,360199,complete,0.373386962,0.304026126862,2.506752E7,MAYBE,-,-,-,-,-,-,-,-,-
516331371,TRS_Equational/Mixed_AC/BAG_nokinds-noand.xml,13152992,AProVE21,33789,certified,551426,complete,18.888498997,15.2517330647,1.20549376E9,YES,-,CERTIFIED,2.27,-,-,-,-,-,-
516331372,TRS_Equational/Mixed_AC/BAG_nokinds-noand.xml,13152992,NaTT 1.6.1,29473,Certifiable,360199,complete,0.756604752,0.647377967834,3.7515264E7,MAYBE,-,-,-,-,-,-,-,-,-
516331373,TRS_Equational/Mixed_AC/intersect.xml,13152993,AProVE21,33789,certified,551426,complete,6.012273008,2.28318595886,4.74750976E8,YES,-,CERTIFIED,0.10,-,-,-,-,-,-
516331374,TRS_Equational/Mixed_AC/intersect.xml,13152993,NaTT 1.6.1,29473,Certifiable,360199,complete,0.171578002,0.195348024368,1.3058048E7,YES,-,REJECTED,0.41,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331375,TRS_Equational/Mixed_AC/RENAMED-BOOL_complete-noand.xml,13152994,AProVE21,33789,certified,551426,complete,319.822339647,292.030557871,1.1402162176E10,--,-,-,-,-,-,-,-,-,-
516331376,TRS_Equational/Mixed_AC/RENAMED-BOOL_complete-noand.xml,13152994,NaTT 1.6.1,29473,Certifiable,360199,complete,145.709874058,145.403291941,1.80563968E8,MAYBE,-,-,-,-,-,-,-,-,-
516331377,TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds-noand.xml,13152995,AProVE21,33789,certified,551426,complete,26.371065349,9.5069642067,1.269809152E9,YES,-,CERTIFIED,1.87,-,-,-,-,-,-
