pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516328778,TRS_Relative/Relative_05/rtL-me2.xml,13153065,ttt2-1.20,29431,ttt2_cert,360056,complete,3.375333942,1.12620377541,2.99372544E8,YES,CERTIFIED,0.56
516328779,TRS_Relative/Relative_05/rtL-me2.xml,13153065,AProVE21,33789,certified,551426,complete,7.996724628,2.8145339489,6.56531456E8,YES,CERTIFIED,0.18
516328780,TRS_Relative/Relative_05/rt1-1.xml,13153066,ttt2-1.20,29431,ttt2_cert,360056,complete,0.451551274,0.353552103043,1.06655744E8,YES,CERTIFIED,0.07
516328781,TRS_Relative/Relative_05/rt1-1.xml,13153066,AProVE21,33789,certified,551426,complete,5.766247735,2.22202301025,4.83622912E8,YES,CERTIFIED,0.01
516328782,TRS_Relative/Relative_05/rt3-9.xml,13153067,ttt2-1.20,29431,ttt2_cert,360056,complete,1.806835527,0.72335100174,2.8573696E8,YES,CERTIFIED,0.13
516328783,TRS_Relative/Relative_05/rt3-9.xml,13153067,AProVE21,33789,certified,551426,complete,9.002112893,3.0194299221,8.32077824E8,YES,CERTIFIED,0.07
516328784,TRS_Relative/Relative_05/rt3-7.xml,13153068,ttt2-1.20,29431,ttt2_cert,360056,complete,1.212365139,0.540858983994,2.64286208E8,YES,CERTIFIED,0.14
516328785,TRS_Relative/Relative_05/rt3-7.xml,13153068,AProVE21,33789,certified,551426,complete,7.146473419,2.54049611092,5.68946688E8,YES,CERTIFIED,0.05
516328786,TRS_Relative/Relative_05/rtL-wl1o.xml,13153069,ttt2-1.20,29431,ttt2_cert,360056,complete,307.034809025,299.334951162,3.25267456E8,MAYBE,-,-
516328787,TRS_Relative/Relative_05/rtL-wl1o.xml,13153069,AProVE21,33789,certified,551426,complete,1154.69793697,292.16207695,9.334284288E9,--,-,-
516328788,TRS_Relative/Relative_05/rtL-evo.xml,13153070,ttt2-1.20,29431,ttt2_cert,360056,complete,0.397113838,0.37474489212,7.3654272E7,NO,CERTIFIED,0.09
516328789,TRS_Relative/Relative_05/rtL-evo.xml,13153070,AProVE21,33789,certified,551426,complete,6.319662366,2.36918115616,5.3397504E8,NO,CERTIFIED,0.07
