pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516304170,TRS_Standard/AProVE_07/thiemann12.xml,13153805,AProVE21,33789,certified,551426,complete,7.674720716,2.71985292435,5.34929408E8,YES,CERTIFIED,0.13
516304171,TRS_Standard/AProVE_07/thiemann12.xml,13153805,NaTT 1.6.1,29473,Certifiable,360199,complete,0.317103538,0.332201957703,2.0135936E7,MAYBE,-,-
516304172,TRS_Standard/AProVE_07/otto01.xml,13153806,ttt2-1.20,29431,ttt2_cert,360056,complete,371.314215248,299.322453976,1.252159488E9,MAYBE,-,-
516304173,TRS_Standard/AProVE_07/otto01.xml,13153806,AProVE21,33789,certified,551426,complete,8.867246272,3.10248494148,5.78015232E8,YES,CERTIFIED,1.16
516304174,TRS_Standard/AProVE_07/otto01.xml,13153806,NaTT 1.6.1,29473,Certifiable,360199,complete,0.544579264,0.476889848709,2.7099136E7,MAYBE,-,-
516304175,TRS_Standard/AProVE_07/kabasci02.xml,13153807,ttt2-1.20,29431,ttt2_cert,360056,complete,26.615132572,8.2676949501,1.217552384E9,YES,CERTIFIED,0.46
516304176,TRS_Standard/AProVE_07/kabasci02.xml,13153807,AProVE21,33789,certified,551426,complete,10.744817304,3.54037594795,7.324672E8,YES,CERTIFIED,0.36
516304177,TRS_Standard/AProVE_07/kabasci02.xml,13153807,NaTT 1.6.1,29473,Certifiable,360199,complete,0.416127275,0.93917798996,1.9808256E7,YES,CERTIFIED,0.85
516304178,TRS_Standard/AProVE_07/wiehe08.xml,13153808,ttt2-1.20,29431,ttt2_cert,360056,complete,20.68617639,6.80153608322,8.43575296E8,YES,CERTIFIED,0.23
516304179,TRS_Standard/AProVE_07/wiehe08.xml,13153808,AProVE21,33789,certified,551426,complete,8.889563887,3.00611901283,5.81664768E8,YES,CERTIFIED,0.25
516304180,TRS_Standard/AProVE_07/wiehe08.xml,13153808,NaTT 1.6.1,29473,Certifiable,360199,complete,0.106803598,0.129539966583,8306688.0,YES,CERTIFIED,0.36
516304181,TRS_Standard/AProVE_07/kabasci05.xml,13153809,ttt2-1.20,29431,ttt2_cert,360056,complete,18.837458348,6.49118590355,7.61294848E8,YES,CERTIFIED,0.20
516304182,TRS_Standard/AProVE_07/kabasci05.xml,13153809,AProVE21,33789,certified,551426,complete,7.634669772,2.75224900246,5.37264128E8,YES,CERTIFIED,0.22
516304183,TRS_Standard/AProVE_07/kabasci05.xml,13153809,NaTT 1.6.1,29473,Certifiable,360199,complete,0.122883083,0.147322893143,8716288.0,YES,CERTIFIED,0.30
516304184,TRS_Standard/AProVE_07/otto08.xml,13153810,ttt2-1.20,29431,ttt2_cert,360056,complete,41.059205142,15.808262825,5.69552896E8,MAYBE,-,-
516304185,TRS_Standard/AProVE_07/otto08.xml,13153810,AProVE21,33789,certified,551426,complete,9.86203393,3.6982319355,5.66652928E8,YES,CERTIFIED,0.39
516304186,TRS_Standard/AProVE_07/otto08.xml,13153810,NaTT 1.6.1,29473,Certifiable,360199,complete,0.259219805,0.229101896286,1.8251776E7,MAYBE,-,-
516304187,TRS_Standard/AProVE_07/thiemann29.xml,13153811,ttt2-1.20,29431,ttt2_cert,360056,complete,393.269140541,299.329565048,1.493049344E9,MAYBE,-,-
516304188,TRS_Standard/AProVE_07/thiemann29.xml,13153811,AProVE21,33789,certified,551426,complete,52.089076057,26.2414829731,5.270278144E9,YES,CERTIFIED,0.92
516304189,TRS_Standard/AProVE_07/thiemann29.xml,13153811,NaTT 1.6.1,29473,Certifiable,360199,complete,0.759381218,0.732367038727,2.5145344E7,MAYBE,-,-
516304190,TRS_Standard/AProVE_07/thiemann27.xml,13153812,ttt2-1.20,29431,ttt2_cert,360056,complete,24.451186768,8.11823582649,4.09505792E8,MAYBE,-,-
516304191,TRS_Standard/AProVE_07/thiemann27.xml,13153812,AProVE21,33789,certified,551426,complete,6.915462129,3.31526398659,4.9778688E8,YES,CERTIFIED,0.21
516304192,TRS_Standard/AProVE_07/thiemann27.xml,13153812,NaTT 1.6.1,29473,Certifiable,360199,complete,0.138723082,0.176946878433,1.7006592E7,MAYBE,-,-
516304193,TRS_Standard/AProVE_07/thiemann20.xml,13153813,ttt2-1.20,29431,ttt2_cert,360056,complete,367.566231197,299.339482069,7.9120384E8,MAYBE,-,-
516304194,TRS_Standard/AProVE_07/thiemann20.xml,13153813,AProVE21,33789,certified,551426,complete,827.83135493,291.853785038,9.43925248E9,--,-,-
516304195,TRS_Standard/AProVE_07/thiemann20.xml,13153813,NaTT 1.6.1,29473,Certifiable,360199,complete,0.243027402,0.2684071064,1.6601088E7,MAYBE,-,-
516304196,TRS_Standard/AProVE_07/thiemann05.xml,13153814,ttt2-1.20,29431,ttt2_cert,360056,complete,38.622427116,13.2789969444,6.94972416E8,MAYBE,-,-
516304197,TRS_Standard/AProVE_07/thiemann05.xml,13153814,AProVE21,33789,certified,551426,complete,8.626144907,2.98545503616,5.97905408E8,YES,CERTIFIED,0.19
516304198,TRS_Standard/AProVE_07/thiemann05.xml,13153814,NaTT 1.6.1,29473,Certifiable,360199,complete,0.296690619,0.297739982605,1.9492864E7,MAYBE,-,-
516304199,TRS_Standard/AProVE_07/thiemann02.xml,13153815,ttt2-1.20,29431,ttt2_cert,360056,complete,385.48261442,299.368953943,1.036947456E9,MAYBE,-,-
516304200,TRS_Standard/AProVE_07/thiemann02.xml,13153815,AProVE21,33789,certified,551426,complete,14.833154006,5.13419604301,9.44652288E8,YES,CERTIFIED,0.92
516304201,TRS_Standard/AProVE_07/thiemann02.xml,13153815,NaTT 1.6.1,29473,Certifiable,360199,complete,1.213733794,1.11134409904,4.1984E7,MAYBE,-,-
516304202,TRS_Standard/AProVE_07/otto11.xml,13153816,ttt2-1.20,29431,ttt2_cert,360056,complete,28.866696723,8.86779904366,4.2502144E8,MAYBE,-,-
516304203,TRS_Standard/AProVE_07/otto11.xml,13153816,AProVE21,33789,certified,551426,complete,7.224489253,2.71675014496,5.05143296E8,YES,CERTIFIED,0.28
516304204,TRS_Standard/AProVE_07/otto11.xml,13153816,NaTT 1.6.1,29473,Certifiable,360199,complete,0.184176826,0.208652019501,1.6248832E7,MAYBE,-,-
516304205,TRS_Standard/AProVE_07/wiehe11.xml,13153817,ttt2-1.20,29431,ttt2_cert,360056,complete,27.594545921,8.18902206421,9.91916032E8,YES,CERTIFIED,0.37
516304206,TRS_Standard/AProVE_07/wiehe11.xml,13153817,AProVE21,33789,certified,551426,complete,9.878424909,3.33226585388,6.72899072E8,YES,CERTIFIED,0.33
516304207,TRS_Standard/AProVE_07/wiehe11.xml,13153817,NaTT 1.6.1,29473,Certifiable,360199,complete,0.252131367,0.284667015076,9932800.0,YES,CERTIFIED,0.72
516304208,TRS_Standard/AProVE_07/thiemann39.xml,13153818,ttt2-1.20,29431,ttt2_cert,360056,complete,348.483805872,299.369118929,8.89229312E8,MAYBE,-,-
516304209,TRS_Standard/AProVE_07/thiemann39.xml,13153818,AProVE21,33789,certified,551426,complete,7.484355171,2.70288014412,5.32570112E8,YES,CERTIFIED,0.26
516304210,TRS_Standard/AProVE_07/thiemann39.xml,13153818,NaTT 1.6.1,29473,Certifiable,360199,complete,1.779485163,1.17252993584,4.487168E7,MAYBE,-,-
516304211,TRS_Standard/AProVE_07/thiemann37.xml,13153819,ttt2-1.20,29431,ttt2_cert,360056,complete,359.966979672,299.387561083,1.06604544E9,MAYBE,-,-
516304212,TRS_Standard/AProVE_07/thiemann37.xml,13153819,AProVE21,33789,certified,551426,complete,16.843902036,5.9323580265,8.88438784E8,YES,CERTIFIED,6.64
516304213,TRS_Standard/AProVE_07/thiemann37.xml,13153819,NaTT 1.6.1,29473,Certifiable,360199,complete,0.661264572,0.601686000824,2.830336E7,MAYBE,-,-
516304214,TRS_Standard/AProVE_07/thiemann30.xml,13153820,ttt2-1.20,29431,ttt2_cert,360056,complete,45.839266243,18.4004440308,7.88738048E8,MAYBE,-,-
516304215,TRS_Standard/AProVE_07/thiemann30.xml,13153820,AProVE21,33789,certified,551426,complete,406.56061009,291.895216942,9.709027328E9,--,-,-
516304216,TRS_Standard/AProVE_07/thiemann30.xml,13153820,NaTT 1.6.1,29473,Certifiable,360199,complete,0.348501604,0.321449995041,1.9288064E7,MAYBE,-,-
516304217,TRS_Standard/AProVE_07/thiemann21.xml,13153821,ttt2-1.20,29431,ttt2_cert,360056,complete,397.355831647,299.376522064,8.43702272E8,MAYBE,-,-
516304218,TRS_Standard/AProVE_07/thiemann21.xml,13153821,AProVE21,33789,certified,551426,timeout (wallclock),757.782487453,301.013689041,1.628225536E10,--,-,-
516304219,TRS_Standard/AProVE_07/thiemann21.xml,13153821,NaTT 1.6.1,29473,Certifiable,360199,complete,0.616830433,0.560367822647,2.4547328E7,MAYBE,-,-
516304220,TRS_Standard/AProVE_07/thiemann26.xml,13153822,ttt2-1.20,29431,ttt2_cert,360056,complete,347.947395978,299.359930992,6.5247232E8,MAYBE,-,-
516304221,TRS_Standard/AProVE_07/thiemann26.xml,13153822,AProVE21,33789,certified,551426,complete,153.596530283,60.6896541119,4.330586112E9,NO,CERTIFIED,0.12
516304222,TRS_Standard/AProVE_07/thiemann26.xml,13153822,NaTT 1.6.1,29473,Certifiable,360199,complete,0.341846624,0.306436777115,1.8956288E7,MAYBE,-,-
516304223,TRS_Standard/AProVE_07/thiemann28.xml,13153823,ttt2-1.20,29431,ttt2_cert,360056,complete,76.601287798,24.8836488724,6.2081024E8,MAYBE,-,-
516304224,TRS_Standard/AProVE_07/thiemann28.xml,13153823,AProVE21,33789,certified,551426,complete,20.689158246,9.16099214554,1.448226816E9,NO,CERTIFIED,0.11
516304225,TRS_Standard/AProVE_07/thiemann28.xml,13153823,NaTT 1.6.1,29473,Certifiable,360199,complete,0.250880133,0.266144990921,1.712128E7,MAYBE,-,-
