pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,certification-err
516330528,SRS_Relative/ICFP_2010_relative/128550.xml,13155849,AProVE21,33789,certified,551426,complete,73.052068756,19.3919918537,3.977842688E9,YES,CERTIFIED,24.30,-
516330529,SRS_Relative/ICFP_2010_relative/5109.xml,13155850,ttt2-1.20,29431,ttt2_cert,360056,complete,273.609460149,93.5425429344,2.144956416E9,YES,UNSUPPORTED,0.24,expecting <, but found: Bounds.fprintfx: XML output no
516330530,SRS_Relative/ICFP_2010_relative/5109.xml,13155850,AProVE21,33789,certified,551426,complete,92.700933158,24.3197669983,5.278785536E9,YES,CERTIFIED,23.44,-
516330531,SRS_Relative/ICFP_2010_relative/128691.xml,13155851,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.059583521,301.024461985,2.181173248E9,MAYBE,-,-,-
516330532,SRS_Relative/ICFP_2010_relative/128691.xml,13155851,AProVE21,33789,certified,551426,complete,60.65952605,16.3272049427,3.305332736E9,YES,CERTIFIED,17.31,-
516330533,SRS_Relative/ICFP_2010_relative/140659.xml,13155852,ttt2-1.20,29431,ttt2_cert,360056,complete,892.688810899,300.879868031,2.023243776E9,MAYBE,-,-,-
516330534,SRS_Relative/ICFP_2010_relative/140659.xml,13155852,AProVE21,33789,certified,551426,timeout (wallclock),1182.66605624,301.008623123,1.824741376E10,--,-,-,-
516330535,SRS_Relative/ICFP_2010_relative/3831.xml,13155853,ttt2-1.20,29431,ttt2_cert,360056,complete,891.864702401,300.498553038,2.127282176E9,MAYBE,-,-,-
516330536,SRS_Relative/ICFP_2010_relative/3831.xml,13155853,AProVE21,33789,certified,551426,complete,99.528223893,25.9114980698,5.355966464E9,YES,CERTIFIED,15.21,-
516330537,SRS_Relative/ICFP_2010_relative/4029.xml,13155854,ttt2-1.20,29431,ttt2_cert,360056,complete,892.577455255,300.52167201,2.270179328E9,MAYBE,-,-,-
516330538,SRS_Relative/ICFP_2010_relative/4029.xml,13155854,AProVE21,33789,certified,551426,timeout (wallclock),1181.24922065,301.008869171,1.5759310848E10,--,-,-,-
516330539,SRS_Relative/ICFP_2010_relative/138194.xml,13155855,ttt2-1.20,29431,ttt2_cert,360056,complete,893.137024319,300.96476388,6.193860608E9,MAYBE,-,-,-
516330540,SRS_Relative/ICFP_2010_relative/138194.xml,13155855,AProVE21,33789,certified,551426,timeout (wallclock),1175.89544716,301.132532835,1.68179712E10,--,-,-,-
516330541,SRS_Relative/ICFP_2010_relative/133881.xml,13155856,ttt2-1.20,29431,ttt2_cert,360056,complete,893.007011027,300.997148991,5.43328256E9,MAYBE,-,-,-
516330542,SRS_Relative/ICFP_2010_relative/133881.xml,13155856,AProVE21,33789,certified,551426,timeout (wallclock),1170.1619427,301.16919899,1.67138304E10,--,-,-,-
516330543,SRS_Relative/ICFP_2010_relative/123759.xml,13155857,ttt2-1.20,29431,ttt2_cert,360056,complete,892.85188059,301.028856039,6.21950976E9,MAYBE,-,-,-
516330544,SRS_Relative/ICFP_2010_relative/123759.xml,13155857,AProVE21,33789,certified,551426,timeout (wallclock),1182.00611195,301.077445984,1.6903483392E10,--,-,-,-
516330545,SRS_Relative/ICFP_2010_relative/132720.xml,13155858,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.041283615,301.062644958,2.216108032E9,MAYBE,-,-,-
516330546,SRS_Relative/ICFP_2010_relative/132720.xml,13155858,AProVE21,33789,certified,551426,complete,64.529729954,17.3027830124,3.652542464E9,YES,CERTIFIED,17.74,-
516330547,SRS_Relative/ICFP_2010_relative/138269.xml,13155859,ttt2-1.20,29431,ttt2_cert,360056,complete,893.120454833,301.040543079,5.992747008E9,MAYBE,-,-,-
516330548,SRS_Relative/ICFP_2010_relative/138269.xml,13155859,AProVE21,33789,certified,551426,timeout (wallclock),1169.82228392,301.066850185,1.684842496E10,--,-,-,-
516330549,SRS_Relative/ICFP_2010_relative/142142.xml,13155860,ttt2-1.20,29431,ttt2_cert,360056,complete,892.982728673,300.928636074,2.019938304E9,MAYBE,-,-,-
516330550,SRS_Relative/ICFP_2010_relative/142142.xml,13155860,AProVE21,33789,certified,551426,complete,1149.83572381,292.875176907,1.8218717184E10,--,-,-,-
516330551,SRS_Relative/ICFP_2010_relative/133486.xml,13155861,ttt2-1.20,29431,ttt2_cert,360056,complete,892.83176584,300.991251945,6.723108864E9,MAYBE,-,-,-
516330552,SRS_Relative/ICFP_2010_relative/133486.xml,13155861,AProVE21,33789,certified,551426,timeout (wallclock),1169.79829026,301.043087006,1.6830103552E10,--,-,-,-
516330553,SRS_Relative/ICFP_2010_relative/128486.xml,13155862,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.855092919,301.063920975,2.185846784E9,MAYBE,-,-,-
516330554,SRS_Relative/ICFP_2010_relative/128486.xml,13155862,AProVE21,33789,certified,551426,complete,52.721659887,14.2100961208,3.016773632E9,YES,CERTIFIED,14.61,-
516330555,SRS_Relative/ICFP_2010_relative/4282.xml,13155863,ttt2-1.20,29431,ttt2_cert,360056,complete,892.440493542,300.50661993,1.926660096E9,MAYBE,-,-,-
516330556,SRS_Relative/ICFP_2010_relative/4282.xml,13155863,AProVE21,33789,certified,551426,timeout (wallclock),1183.99900838,301.048627853,1.5795965952E10,--,-,-,-
516330557,SRS_Relative/ICFP_2010_relative/140649.xml,13155864,ttt2-1.20,29431,ttt2_cert,360056,complete,892.816646717,300.9133389,2.469285888E9,MAYBE,-,-,-
516330558,SRS_Relative/ICFP_2010_relative/140649.xml,13155864,AProVE21,33789,certified,551426,timeout (wallclock),1170.95840095,301.056035042,1.879904256E10,--,-,-,-
516330559,SRS_Relative/ICFP_2010_relative/132235.xml,13155865,ttt2-1.20,29431,ttt2_cert,360056,complete,893.107869104,301.033957958,4.978737152E9,MAYBE,-,-,-
516330560,SRS_Relative/ICFP_2010_relative/132235.xml,13155865,AProVE21,33789,certified,551426,timeout (wallclock),1182.32362436,301.040858984,1.68332288E10,--,-,-,-
516330561,SRS_Relative/ICFP_2010_relative/139018.xml,13155866,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.017953381,301.056241989,2.202566656E9,MAYBE,-,-,-
516330562,SRS_Relative/ICFP_2010_relative/139018.xml,13155866,AProVE21,33789,certified,551426,complete,53.679138687,14.4892668724,3.195133952E9,YES,CERTIFIED,18.01,-
516330563,SRS_Relative/ICFP_2010_relative/4487.xml,13155867,ttt2-1.20,29431,ttt2_cert,360056,complete,892.560712517,300.493458033,2.016288768E9,MAYBE,-,-,-
516330564,SRS_Relative/ICFP_2010_relative/4487.xml,13155867,AProVE21,33789,certified,551426,timeout (wallclock),1181.69178703,301.008445024,1.5797026816E10,--,-,-,-
516330565,SRS_Relative/ICFP_2010_relative/4824.xml,13155868,ttt2-1.20,29431,ttt2_cert,360056,complete,892.53873209,300.557754993,1.92892928E9,MAYBE,-,-,-
516330566,SRS_Relative/ICFP_2010_relative/4824.xml,13155868,AProVE21,33789,certified,551426,timeout (wallclock),1157.68632606,301.014746904,1.6087785472E10,--,-,-,-
516330567,SRS_Relative/ICFP_2010_relative/97929.xml,13155869,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.209232608,301.065490007,2.1182464E9,--,-,-,-
516330568,SRS_Relative/ICFP_2010_relative/97929.xml,13155869,AProVE21,33789,certified,551426,timeout (wallclock),1181.59293889,301.047256947,1.5965528064E10,--,-,-,-
516330569,SRS_Relative/ICFP_2010_relative/4002.xml,13155870,ttt2-1.20,29431,ttt2_cert,360056,complete,892.531335429,300.52136302,2.082824192E9,MAYBE,-,-,-
516330570,SRS_Relative/ICFP_2010_relative/4002.xml,13155870,AProVE21,33789,certified,551426,complete,1163.87098131,297.413944006,1.5704281088E10,--,-,-,-
516330571,SRS_Relative/ICFP_2010_relative/4816.xml,13155871,ttt2-1.20,29431,ttt2_cert,360056,complete,136.136334684,47.7075538635,2.051100672E9,YES,UNSUPPORTED,0.25,expecting <, but found: Bounds.fprintfx: XML output no
516330572,SRS_Relative/ICFP_2010_relative/4816.xml,13155871,AProVE21,33789,certified,551426,complete,149.539288004,38.6167221069,7.081046016E9,YES,CERTIFIED,17.56,-
516330573,SRS_Relative/ICFP_2010_relative/63142.xml,13155872,ttt2-1.20,29431,ttt2_cert,360056,complete,892.633472827,300.550431967,4.05108736E9,MAYBE,-,-,-
516330574,SRS_Relative/ICFP_2010_relative/63142.xml,13155872,AProVE21,33789,certified,551426,complete,1109.22315309,298.998295069,1.7180442624E10,YES,CERTIFIED,4.68,-
516330575,SRS_Relative/ICFP_2010_relative/3939.xml,13155873,ttt2-1.20,29431,ttt2_cert,360056,complete,892.341018821,300.500905991,1.932992512E9,MAYBE,-,-,-
516330576,SRS_Relative/ICFP_2010_relative/3939.xml,13155873,AProVE21,33789,certified,551426,timeout (wallclock),1165.93708236,301.058694839,1.5929659392E10,--,-,-,-
516330577,SRS_Relative/ICFP_2010_relative/135115.xml,13155874,ttt2-1.20,29431,ttt2_cert,360056,complete,892.928583305,301.013972998,5.351903232E9,MAYBE,-,-,-
516330578,SRS_Relative/ICFP_2010_relative/135115.xml,13155874,AProVE21,33789,certified,551426,timeout (wallclock),1180.00533706,301.048907042,1.634625536E10,--,-,-,-
516330579,SRS_Relative/ICFP_2010_relative/3861.xml,13155875,ttt2-1.20,29431,ttt2_cert,360056,complete,892.554809443,300.531033993,1.932648448E9,MAYBE,-,-,-
516330580,SRS_Relative/ICFP_2010_relative/3861.xml,13155875,AProVE21,33789,certified,551426,complete,1172.67272487,299.283382177,1.5876227072E10,--,-,-,-
