pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,certification-err
517004727,Runtime_Complexity_Full_Rewriting/AProVE_04/IJCAR_26a.xml,13160770,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,744.652579998,296.114560127,2.7310608384E10,MAYBE,-,-,-
517004728,Runtime_Complexity_Full_Rewriting/AProVE_04/Liveness_WRS.xml,13160771,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,0.381221682,0.204014062881,2.5018368E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.19,-
517004729,Runtime_Complexity_Full_Rewriting/AProVE_04/JFP_Ex51.xml,13160772,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,58.482025669,22.8421561718,1.359921152E9,MAYBE,-,-,-
517004730,Runtime_Complexity_Full_Rewriting/AProVE_04/IJCAR_1.xml,13160773,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,64.894121831,52.2484169006,1.61230848E8,MAYBE,-,-,-
517004731,Runtime_Complexity_Full_Rewriting/AProVE_04/Liveness8.xml,13160774,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,0.12632246,0.115592956543,1.7199104E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.25,-
517004732,Runtime_Complexity_Full_Rewriting/AProVE_04/JFP_Ex31.xml,13160775,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,904.696039227,296.694752932,4.91741184E8,MAYBE,-,-,-
517004733,Runtime_Complexity_Full_Rewriting/AProVE_04/Liveness6.4.xml,13160776,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,922.308250701,296.161338091,4.32205824E8,MAYBE,-,-,-
517004734,Runtime_Complexity_Full_Rewriting/AProVE_04/AAECC-ring.xml,13160777,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,timeout (wallclock),936.437450583,301.075681925,1.109696512E9,--,-,-,-
517004735,Runtime_Complexity_Full_Rewriting/AProVE_04/Liveness6.3.xml,13160778,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,0.060730713,0.0979709625244,1.1005952E7,"WORST_CASE(?,O(n^1))",CERTIFIED,0.10,-
517004736,Runtime_Complexity_Full_Rewriting/AProVE_04/LPAR_intlist.xml,13160779,tct-trs_v3.2.0_2020-06-28,29575,tct_rc_cert,360389,complete,0.0449781,0.105173110962,1.409024E7,MAYBE,-,-,-
